"filename", "language", "JSON", "Python", "comment", "blank", "total"
"e:\Ingenieria de sistemas\INTELIGENCIA ARTIFICIAL\ChatBotProject-master\ChatBotProject-master\reciclado\chat_memory.py", "Python", 0, 73, 12, 23, 108
"e:\Ingenieria de sistemas\INTELIGENCIA ARTIFICIAL\ChatBotProject-master\ChatBotProject-master\reciclado\conversation_memory.json", "JSON", 1056, 0, 0, 0, 1056
"e:\Ingenieria de sistemas\INTELIGENCIA ARTIFICIAL\ChatBotProject-master\ChatBotProject-master\reciclado\database.py", "Python", 0, 25, 5, 7, 37
"Total", "-", 1056, 98, 17, 30, 1201
