"filename", "language", "Python", "JSON", "comment", "blank", "total"
"e:\Ingenieria de sistemas\INTELIGENCIA ARTIFICIAL\ChatBotProject-master\ChatBotProject-master\chatbot\chatbot.py", "Python", 57, 0, 13, 19, 89
"e:\Ingenieria de sistemas\INTELIGENCIA ARTIFICIAL\ChatBotProject-master\ChatBotProject-master\chatbot\conversation_data.json", "JSON", 0, 40, 0, 1, 41
"e:\Ingenieria de sistemas\INTELIGENCIA ARTIFICIAL\ChatBotProject-master\ChatBotProject-master\chatbot\server.py", "Python", 31, 0, 8, 11, 50
"e:\Ingenieria de sistemas\INTELIGENCIA ARTIFICIAL\ChatBotProject-master\ChatBotProject-master\reciclado\chat_memory.py", "Python", -73, 0, -12, -23, -108
"e:\Ingenieria de sistemas\INTELIGENCIA ARTIFICIAL\ChatBotProject-master\ChatBotProject-master\reciclado\conversation_memory.json", "JSON", 0, -1056, 0, 0, -1056
"e:\Ingenieria de sistemas\INTELIGENCIA ARTIFICIAL\ChatBotProject-master\ChatBotProject-master\reciclado\database.py", "Python", -25, 0, -5, -7, -37
"Total", "-", -10, -1016, 4, 1, -1021
